"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"","LANGUAGE TABLES","","","","","","","WordLength=1d6syllables","","","","","","","","","","","","","",""
"","","B","A","S","I","C","","","","","","","","","","","","A","L","T","E","R"
"","","1","2","3","4","5","6","","","","","","","","","","","1","2","3","4","5"
"","1","V","V","V","CV","CV","CV","","","","","","","","","","1","v","v","v","v","v"
"","2","VC","VC","VC","VC","VC","VC","","","","","","","","","","2","cv","cv","cv","cv","cv"
"","3","VC","VC","CVC","CVC","CVC","CVC","","","","","","","","","","3","vc","vc","vc","vc","vc"
"","4","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","","","","4","cvc","cvc","cvc","cvc","cvc"
"","5","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","","","","5","cvc","cvc","cvc","cvc","cvc"
"","6","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","","","","6","cvc","cvc","cvc","cvc","cvc"
"","INITIAL SYLLABLES OR AFTER CV OR V","","","","","","","","","","","","","","","","FOR SYLLABLES AFTER VC OR CVC","","","","",""
"","","1st consonant","","","","","","Vowel","","","","","","","final consonant","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","B","B","B","B","B","BL","","1","A","A","A","A","A","A","","1","B","B","BL","BL","BL"
"","2","BL","BL","BR","BR","BR","BR","","2","A","A","A","A","A","A","","2","BL","BL","BL","BR","BR"
"1","3","BR","CH","CH","CH","CH","CH","","3","A","A","A","A","A","A","","3","BR","BR","BR","BR","CH"
"","4","CH","CH","CH","CH","CH","CH","","4","A","A","A","A","A","A","","4","CH","CH","CH","D","D"
"","5","CH","CHT","CHT","CHT","CHT","CHT","","5","A","A","A","A","A","A","","5","D","DL","DL","DL","DL"
"","6","CHT","CHT","D","D","D","D","","6","A","A","A","A","A","A","","6","DL","DL","DR","DR","DR"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","D","D","D","D","D","DL","","1","A","A","A","A","A","A","","1","DR","DR","DR","F","F"
"","2","DL","DL","DL","DL","DL","DL","","2","A","A","A","A","A","A","","2","F","F","FL","FL","FL"
"2","3","DR","DR","DR","DR","DR","F","","3","A","E","E","E","E","E","","3","FL","FR","FR","FR","FR"
"","4","F","F","F","F","FL","FL","","4","E","E","E","E","E","E","","4","J","J","J","J","K"
"","5","FL","FR","FR","FR","J","J","","5","E","E","E","E","E","E","","5","KL","KL","KL","KL","KR"
"","6","J","J","J","J","J","JD","","6","E","E","E","E","E","E","","6","L","L","L","L","L"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","JD","JD","JD","JD","K","K","","1","E","E","E","E","E","E","","1","L","L","L","L","L"
"","2","K","K","K","KL","KL","KR","","2","E","E","E","E","E","E","","2","M","M","N","N","NCH"
"3","3","KR","L","L","L","M","M","","3","E","E","E","E","E","E","","3","NCH","NCH","NCH","NCH","NCH"
"","4","N","N","N","N","N","N","","4","E","E","E","E","E","E","","4","NJ","NJ","NJ","NJ","NS"
"","5","N","N","P","P","P","P","","5","E","E","E","E","E","E","","5","NS","NS","NS","NSH","NSH"
