"Flux";"Code";"Freq";"ID";"Desc";"Extra"
"-9";"1";"2";"1";"C d";"delta"
"-8";"2";"4";"2";"C th";"theta"
"-7";"3";"8";"3";"C a";"alpha"
"-6";"4";"16";"4";"C 0";"beta"
"-5";"5";"32";"5";"C 1";"gamma"
"-4";"6";"64";"6";"C 2";"Human Audible"
"-3";"7";"128";"7";"C 3";
"-2";"8";"256";"8";"C 4";"Middle C"
"-1";"9";"512";"9";"C 5";
" 0";"A";"1000";"10";"C 6";
"+1";"B";"2000";"11";"C 7";
"+2";"C";"4000";"12";"C 8";"Human Audible"
"+3";"D";"8000";"13";"C 9";
"+4";"E";"16000";"14";"C 10";"Dog Whistle"
"+5";"F";"32000";"15";"C 11";
"+6";"G";"64000";"16";"C 12";
"+7";"H";"128000";"17";"C 13";
"+8";"J";"256000";"18";"C 14";
"+9";"K";"524288";"19";"C 15";
