"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"","LANGUAGE TABLES","","","","","","","","","","","","","","","","","","","","",""
"","","B","A","S","I","C","","","","","","","","","A","L","T","E","R","N","","WordLength=1d6syllables"
"","","1","2","3","4","5","6","","","","","","","","1","2","3","4","5","6","",""
"","1","V","V","V","V","V","V","","","","","","","1","V","V","V","V","V","V","",""
"","2","V","V","V","V","V","V","","","","","","","2","V","V","V","V","V","V","",""
"","3","V","CV","CV","CV","CV","CV","","","","","","","3","V","V","V","VC","VC","VC","",""
"","4","CV","CV","CV","CV","VC","VC","","","","","","","4","VC","VC","VC","VC","VC","VC","",""
"","5","VC","VC","VC","VC","VC","VC","","","","","","","5","VC","VC","VC","VC","VC","VC","",""
"","6","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","6","VC","VC","VC","VC","VC","VC","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","F","F","F","F","F","F","A","A","A","A","A","A","1","H","H","H","H","H","H","","1"
"","2","F","F","F","F","F","F","A","A","A","A","A","A","2","H","H","H","H","H","H","","2"
"1","3","FT","FT","FT","FT","FT","FT","A","A","A","A","A","A","3","H","H","H","H","H","H","1","3"
"","4","FT","FT","FT","FT","H","H","A","A","A","A","A","A","4","H","H","H","H","H","H","","4"
"","5","H","H","H","H","H","H","A","A","A","A","A","A","5","H","H","H","H","H","H","","5"
"","6","H","H","H","H","H","H","A","A","A","A","A","A","6","H","H","H","H","H","H","","6"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","H","H","H","H","HF","HF","A","A","A","A","A","AI","1","H","H","H","H","H","H","","1"
"","2","HF","HF","HF","HK","HK","HK","AI","AI","AI","AI","AI","AI","2","H","H","H","H","KH","KH","","2"
"2","3","HK","HK","HK","HK","HK","HK","AI","AI","AI","AI","AO","AO","3","KH","KH","KH","KH","KH","KH","2","3"
"","4","HK","HK","HK","HL","HL","HL","AO","AO","AO","AO","AO","AO","4","KH","KH","KH","KH","KH","KH","","4"
"","5","HL","HL","HL","HL","HL","HR","AU","AU","AU","AU","E","E","5","KH","KH","KH","KH","L","L","","5"
"","6","HR","HR","HR","HR","HR","HR","E","E","E","E","E","E","6","L","L","L","L","L","L","","6"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","HT","HT","HT","HT","HT","HT","E","E","E","E","E","E","1","L","L","L","L","L","L","","1"
"","2","HT","HT","HT","HT","HT","HT","E","E","E","E","E","E","2","L","L","L","L","L","L","","2"
"3","3","HW","HW","HW","HW","HW","K","E","E","E","E","E","E","3","L","L","L","L","L","L","3","3"
"","4","K","K","K","K","K","K","EA","EA","EA","EA","EA","EA","4","L","L","L","L","L","L","","4"
"","5","K","K","K","K","K","K","EA","EA","EA","EA","EA","EA","5","LR","LR","LR","LR","LR","LR","","5"
"","6","K","K","K","K","KH","KH","EA","EA","EA","EA","EA","EA","6","LR","LR","LR","LR","LR","LR","","6"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","KH","KH","KH","KH","KH","KH","EA","EA","EA","EA","EA","EA","1","LR","LR","R","R","R","R","","1"
"","2","KH","KH","KH","KH","KH","KH","EI","EI","EI","EI","EI","EI","2","R","R","R","R","R","R","","2"
"4","3","KH","KH","KH","KH","KH","KH","EI","EI","EI","EI","EI","EI","3","R","R","R","R","R","R","4","3"
"","4","KHT","KHT","KHT","KHT","KHT","KHT","EI","I","I","I","I","I","4","R","R","R","R","R","R","","4"
"","5","KT","KT","KT","KT","KT","KT","I","I","I","I","I","I","5","R","RL","RL","RL","RL","RL","","5"
"","6","KT","KT","KT","KT","L","L","I","I","I","I","I","IY","6","RL","RL","RL","RL","RL","RL","","6"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","L","L","L","R","R","R","IY","IY","IY","IY","IY","IY","1","RL","RL","RL","RL","RL","RL","","1"
"","2","R","R","R","R","S","S","IY","IY","IY","IY","IY","O","2","RL","S","S","S","S","S","","2"
"5","3","S","S","ST","ST","S","S","O","O","O","O","O","O","3","S","S","S","S","S","S","5","3"
"","4","S","S","ST","ST","ST","ST","O","OA","OA","OA","OA","OI","4","S","S","S","S","S","S","","4"
"","5","ST","ST","ST","T","T","T","OI","OI","OI","OI","OI","OI","5","S","S","S","S","S","S","","5"
"","6","T","T","T","T","T","T","OI","OU","OU","OU","OU","OU","6","S","W","W","W","W","W","","6"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","1","2","3","4","5","6","","1","2","3","4","5","6","",""
"","1","T","T","T","T","T","T","U","U","U","U","UA","UA","1","W","W","W","W","W","W","","1"
"","2","T","T","T","T","T","TL","UA","UA","UI","UI","UI","UI","2","W","W","W","W","W","W","","2"
"6","3","TL","TL","TL","TL","TR","TR","YA","YA","YA","YA","YA","YA","3","W","W","W","W","W","W","6","3"
"","4","TR","TR","TR","W","W","W","YA","YA","YE","YE","YE","YE","4","W","W","W","W","`","`","","4"
"","5","W","W","W","W","W","W","YE","YE","YE","YO","YO","YO","5","`","`","`","`","`","`","","5"
"","6","W","W","W","W","W","W","YO","YO","YU","YU","YU","YU","6","`","`","`","`","`","`","","6"
