"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"LANGUAGE TABLES","","","","","","","","","","","","","","","","","","","","","",""
"","","B","A","S","I","C","","","","WordLength=1d6syllables","","","","","","","","A","L","T","E","R"
"","","1","2","3","4","5","6","","","","","","","","","","","1","2","3","4","5"
"","1","V","V","V","V","VC","VC","","","","","","","","","","1","CV","CV","CV","CV","CV"
"","2","VC","VC","VC","VC","VC","VC","","","","","","","","","","2","CV","CV","CV","CV","CV"
"","3","VC","VC","VC","VC","VC","VC","","","","","","","","","","3","CV","CV","CV","CV","CV"
"","4","CV","CV","CV","CV","CVC","CVC","","","","","","","","","","4","CVC","CVC","CVC","CVC","CVC"
"","5","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","","","","5","CVC","CVC","CVC","CVC","CVC"
"","6","CVC","CVC","CVC","CVC","CVC","CVC","","","","","","","","","","6","CVC","CVC","CVC","CVC","CVC"
"","","INTITAL SYLLABLES & AFTER CV OR V","","","","","","","","","","","","","","","","SYLLABLES AFTER VC OR CVC","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","D","D","D","D","D","D","","1","A","A","A","A","A","A","","1","DH","DH","DH","DH","DH"
"","2","D","D","D","DH","DH","DH","","2","A","A","A","A","A","A","","2","DZ","DZ","DZ","DZ","G"
"1","3","DH","DH","DH","DH","DH","DH","","3","A","A","A","A","A","A","","3","G","G","G","G","G"
"","4","DZ","DZ","DZ","DZ","DZ","F","","4","A","A","A","A","A","A","","4","G","G","G","G","G"
"","5","F","F","F","F","F","F","","5","A","A","A","A","A","A","","5","G","GH","GH","GH","GH"
"","6","G","G","G","G","G","G","","6","A","A","A","A","A","A","","6","GH","GH","GH","GH","GH"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","G","G","G","G","G","G","","1","A","A","A","A","A","A","","1","GHZ","GHZ","GHZ","GHZ","GHZ"
"","2","G","G","G","G","G","G","","2","AE","AE","AE","AE","AE","AE","","2","GHZ","GHZ","GHZ","K","K"
"2","3","GH","GH","GH","GH","GH","GH","","3","AE","AE","AE","AE","AE","AE","","3","K","K","K","K","K"
"","4","GH","GH","GH","GH","GH","GN","","4","AE","AE","AE","AE","AE","AE","","4","K","KH","KH","KH","KH"
"","5","GN","GN","GV","GV","GV","GV","","5","AE","AE","AE","AE","AE","AE","","5","KH","KH","KH","KH","KH"
"","6","GV","GV","GV","GZ","GZ","GZ","","6","AE","AE","AE","AE","AE","AE","","6","KHS","KHS","KHS","KHS","KS"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","GZ","K","K","K","K","K","","1","AE","AE","AE","AE","E","E","","1","KS","KS","KS","KS","L"
"","2","K","K","K","K","K","K","","2","E","E","E","E","E","E","","2","L","L","L","L","L"
"3","3","K","K","K","K","K","K","","3","E","E","E","E","E","E","","3","L","L","LL","LL","LL"
"","4","K","KF","KF","KF","KF","KF","","4","E","E","I","I","I","I","","4","LL","N","N","N","N"
"","5","KH","KH","KH","KH","KH","KH","","5","I","I","I","I","I","I","","5","N","N","N","N","N"
"","6","KH","KH","KH","KH","KH","KN","","6","O","O","O","O","O","O","","6","N","N","N","N","N"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","KN","KN","KN","KN","KN","KS","","1","O","O","O","O","O","O","","1","N","N","N","N","N"
"","2","KS","KS","KS","KS","KS","KS","","2","O","O","O","O","O","O","","2","N","N","NG","NG","NG"
"4","3","L","L","L","L","LL","LL","","3","O","O","O","O","O","O","","3","NG","NG","NG","NG","NG"
"","4","LL","LL","LL","LL","LL","LL","","4","O","O","O","O","O","O","","4","NG","NG","NG","NG","NG"
"","5","N","N","N","N","N","N","","5","O","O","O","O","OE","OE","","5","NG","NG","NG","NG","NG"
"","6","N","NG","NG","NG","NG","NG","","6","OE","OE","OE","OE","OE","OE","","6","NG","NG","NG","R","R"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","R","R","R","R","R","R","","1","OE","OE","OE","OE","OE","OE","","1","R","R","R","R","R"
"","2","R","R","R","R","R","RR","","2","OE","OE","OU","OU","OU","OU","","2","R","R","R","R","R"
"5","3","RR","RR","RR","RR","RR","RR","","3","OU","OU","OU","OU","OU","OU","","3","RR","RR","RR","RR","RR"
"","4","RR","S","S","S","S","S","","4","OU","OU","OU","OU","OU","OU","","4","RR","RR","RR","RR","RR"
"","5","S","S","S","S","S","S","","5","U","U","U","U","U","U","","5","RR","RR","RR","RRG","RRG"
"","6","T","T","T","T","T","T","","6","U","U","U","U","U","U","","6","RRG","RRG","RRGH","RRGH","RRGH"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","T","TH","TH","TH","TH","TH","","1","U","U","U","U","U","U","","1","RRGH","RS","RS","RS","RS"
