"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"","VILANI TABLES","","","","","","","","","","","","","","","","","","","","",""
"","","B","A","S","I","C","","","","WordLength=1d6syllables","","","","","","","","A","L","T","E","R"
"","","1","2","3","4","5","6","","","","","","","","","","","1","2","3","4","5"
"","1","v","v","v","v","v","v","","","","","","","","","","1","cv","cv","cv","cv","cv"
"","2","cv","cv","cv","cv","cv","cv","","","","","","","","","","2","cv","cv","cv","cv","cv"
"","3","cv","cv","cv","vc","vc","vc","","","","","","","","","","3","cv","cv","cv","cv","cv"
"","4","vc","vc","vc","vc","vc","","","","","","","","","","","4","cv","cv","cv","cvc","cvc"
"","5","vc","vc","vc","vc","vc","cvc","","","","","","","","","","5","cvc","cvc","cvc","cvc","cvc"
"","6","cvc","cvc","cvc","cvc","cvc","cvc","","","","","","","","","","6","cvc","cvc","cvc","cvc","cvc"
"","INITIAL SYLLABLES OR AFTER CV OR V","","","","","","","","","","","","","","","","FOR SYLLABLES AFTER VC OR CVC","","","","",""
"","","1st consonant","","","","","","","","Vowel","","","","","","","","final consonant","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","K","K","K","K","K","K","","1","A","A","A","A","A","A","","1","R","R","R","R","R"
"","2","K","K","K","K","K","K","","2","A","A","A","A","A","A","","2","R","R","R","R","R"
"1","3","K","K","K","K","K","K","","3","A","A","A","A","A","A","","3","R","R","R","R","R"
"","4","K","K","K","K","K","K","","4","A","A","A","A","A","A","","4","R","R","R","R","R"
"","5","K","K","K","K","K","K","","5","A","A","A","A","A","A","","5","R","R","R","R","R"
"","6","K","K","K","K","K","K","","6","A","A","A","A","A","A","","6","R","R","R","R","R"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","K","K","K","G","G","G","","1","A","A","A","A","A","A","","1","R","R","R","R","R"
"","2","G","G","G","G","G","G","","2","A","A","A","A","A","A","","2","R","R","R","R","R"
"2","3","G","G","G","G","G","G","","3","A","A","A","A","A","A","","3","R","R","R","R","R"
"","4","G","G","G","G","G","G","","4","A","A","A","A","A","A","","4","R","R","R","R","R"
"","5","G","G","G","G","G","G","","5","A","A","A","A","A","A","","5","R","R","R","R","R"
"","6","G","G","G","G","G","G","","6","A","E","E","E","E","E","","6","R","R","R","R","R"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","G","G","G","G","G","G","","1","E","E","E","E","E","E","","1","R","R","R","R","N"
"","2","M","M","M","M","M","M","","2","E","E","E","E","E","E","","2","N","N","N","N","N"
"3","3","M","M","M","M","M","M","","3","I","I","I","I","I","I","","3","N","N","N","N","N"
"","4","M","M","M","M","M","M","","4","I","I","I","I","I","I","","4","N","N","N","N","N"
"","5","M","M","M","D","D","D","","5","I","I","I","I","I","I","","5","N","N","N","N","N"
"","6","D","D","D","D","D","D","","6","I","I","I","I","I","I","","6","M","M","M","M","M"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","D","D","D","D","D","D","","1","I","I","I","I","I","I","","1","M","M","M","M","M"
"","2","D","D","D","D","D","D","","2","I","I","I","I","I","I","","2","M","M","M","M","M"
"4","3","L","L","L","L","L","L","","3","I","I","I","I","I","I","","3","M","M","M","M","M"
"","4","L","L","L","L","L","L","","4","I","I","I","I","I","I","","4","M","M","M","M","M"
"","5","L","L","L","L","L","L","","5","I","I","I","I","I","I","","5","M","M","M","M","M"
"","6","L","L","L","SH","SH","SH","","6","I","I","I","I","I","U","","6","M","SH","SH","SH","SH"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","SH","SH","SH","SH","SH","SH","","1","U","U","U","U","U","U","","1","SH","SH","SH","SH","SH"
"","2","SH","SH","SH","SH","SH","SH","","2","U","U","U","U","U","U","","2","SH","SH","SH","SH","SH"
"5","3","SH","SH","SH","SH","SH","SH","","3","U","U","U","U","U","U","","3","SH","SH","SH","SH","SH"
"","4","KH","KH","KH","KH","KH","KH","","4","U","U","U","U","U","U","","4","SH","SH","SH","G","G"
"","5","KH","KH","KH","KH","KH","KH","","5","U","U","U","U","U","U","","5","G","G","G","G","G"
"","6","KH","KH","KH","KH","KH","KH","","6","U","U","U","U","U","U","","6","G","G","G","G","G"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","N","N","N","N","N","N","","1","U","U","U","U","AA","AA","","1","S","S","S","S","S"
"","2","N","N","N","N","S","S","","2","AA","AA","AA","AA","AA","AA","","2","S","S","S","S","S"
"6","3","S","S","S","S","S","S","","3","II","II","II","II","II","II","","3","D","D","D","D","D"
"","4","S","S","P","P","P","P","","4","II","II","II","II","II","II","","4","D","D","D","D","D"
"","5","B","B","B","B","Z","Z","","5","II","II","II","II","UU","UU","","5","P","P","P","P","P"
"","6","Z","Z","R","R","R","R","","6","UU","UU","UU","UU","UU","UU","","6","  ","K","K","K","K"
